ACRNM__C,ABBREVIATION__C,BILLINGCITY,BILLINGCOUNTRY,BILLINGPOSTALCODE,BILLINGSTATE,BILLINGSTREET,ID,INSTITUTION_SUB_TYPE__C,INSTITUTION_TYPE__C,NAME,OPPORTUNITIES__C,PHONE,PUBLIC_PRIVATE_SECTOR__C,RELATIONSHIP_WITH_THE_BANK__C,TYPE,WEBSITE
AR-CIMIENTOS,,Buenos Aires,Argentina,C1114,,PTE. J.E. URIBURU 1175,0011I00000cikf2QAA,,,Fundacion Cimientos,0,5.41148E+11,Private Sector,,,http://cimientos.org/acercadecimientos.php
AR-CINS,,Formosa,Argentina,,,Calle Padre Patino 824,0011I00000cijoIQAQ,,Business,Cooperazione Italiana Nord Sud,0,5.43717E+11,Private Sector,,,http://www.cins.it/
AR-CIPPEC,,Buenos Aires,Argentina,C1022AA,,"Av. Callao 25, Piso 1º ACiudad Autónoma de Buenos Aires",0011I00000cike9QAA,,,Centro de Implementación de Políticas Públicas para la Equidad y Crecimiento,0,5.41144E+11,Private Sector,,,http://www.cippec.org/
AR-CNDC,,Buenos Aires,Argentina,1322,,Julio A. Roca 651 4to Piso,0011I00000cikIbQAI,,Government,Comision Nacional de Defensa a la Competencia,0,5.41143E+11,Public Sector,,,http://www.cndc.gov.ar/
AR-COL,,Los Antiguos,Argentina,,,"Alameda Oeste 473 , Los AntiguosLos Antiguos",0011I00000cik63QAA,Producer association,Business,Cooperativa Agro-Fruticola el Oasis,0,2963491294,Private Sector,,,
AR-COPLAR,LA RIOJANA,Chilecito,Argentina,5360,,LA PLANTA 646Chilecito,0011I00000cik6bQAA,Producer association,Business,Cooperativa Vitivinifruticola de la Rioja Limitada,0,5.40383E+12,Private Sector,,,http://www.lariojana.com.ar/site/
AR-CORDECC,,Chos Malal,Argentina,Q8353BFB,,GENERAL JUSTO 45 Y SAN MARTINChos Malal,0011I00000cik5BQAQ,,Business,"Corporacion de Desarrollo de la Cuenca del Curi Leuvu, s.a.",0,5.40295E+12,Private Sector,,,http://www.tantogusto.net/vinculos/cordecc-sapem/
AR-CORDIAL,,La Plata,Argentina,1406,,Calle 47 nº 636,0011I00000cijo3QAA,,Financial Institution,Cordial Microfinanzas s.a.,0,2214222670,Private Sector,,,http://www.cordialnegocios.com.ar/menu.html
AR-COS,,Buenos Aires,Argentina,,,"ESMERALDA 1271 PISO 3 DEPARTAMENTO 35, 1007 CABA",0011I00000cikiKQAQ,,,Co Sistema s.a.,0,5.49116E+12,Private Sector,,,http://www.njambre.org/
AR-CPCE,,Buenos Aires,Argentina,C1055ABC,,Viamonte 1549,0011I00000cikCRQAY,,Government,"Consejo Profesional de Ciencias Economicas, Argentina",0,5.41154E+11,Public Sector,,,http://www.consejo.org.ar/ https://www.facebook.com/ConsejoCABA/info?ref=page_internal
AR-CSI,,,Argentina,,,ITUZAINGO 90 (1642) SAN ISIDRO,0011I00000cijE0QAI,,,Cáritas San Isidro,0,(5411) 4575 422,,,,
AR-CTC,,Córdoba,Argentina,5000,,Paso de Uspallata 1445 Barrio San Martín 5008MENTO D,0011I00000cikX9QAI,,,Cluster Tecnológico Córdoba,0,5.43516E+11,Private Sector,,,http://www.cordobatechnology.com/joomla/
AR-DAT,,Rosario,Argentina,2000,,Agencia DAT- Ocampo y Esmeralda Rosario,0011I00000cikKtQAI,,Business,Asociación Cooperadora de la Dirección de Asesoramiento y Servicios Tecnológicos,0,5.43415E+11,Private Sector,,,http://www.agenciadat.org.ar/
AR-DECOD,,Buenos Aires,Argentina,C1058AAC,,MARCELO T. DE ALVEAR 405,0011I00000cikjhQAA,,,Asociacion Civil para el Desarrollo de Ecosistemas Descentralizados,0,5.41154E+11,Private Sector,,,www.bitcoinargentina.org
AR-ENDEAVOR,,Buenos Aires,Argentina,1124,,Montañeses 2180,0011I00000cijzcQAA,,,Endeavor Argentina,0,5.41148E+11,Private Sector,,,http://www.endeavor.org.ar/
AR-ENOHSA,,Buenos Aires,Argentina,C1042AAQ,,Av. Corrientes 1750 - Pisos 3 al 8,0011I00000cikIzQAI,,Government,Ente Nacional de Obras Hidricas de Saneamiento,0,41176500,Public Sector,,,http://www.enohsa.gob.ar/index.php
AR-ENRESS,ENRESS,Santa Fe,Argentina,3000,,25 de Mayo 1951,0011I00000cikIBQAY,,Government,Ente Regulador de Servicios Sanitarios de la Provincia de Santa Fe,0,5.43425E+11,Public Sector,,,https://plus.google.com/116890217366157129859/about?gl=pt&hl=en
AR-ETIMOS,,Buenos Aires,Argentina,1405,,"DR. G. ARÁOZ ALFARO 432, 1º E",0011I00000cikPNQAY,,Business,Etimos Argentina,0,5.41146E+11,Private Sector,,,http://www.nuestrashuellas.org.ar/index2/dona.html
AR-FAA,FAA,Rosario,Argentina,S2000,,PJE. ALFONSINA STORNI 7452000 Rosario,0011I00000cijoMQAQ,,Business,Federacion Agraria Argentina,0,5.43415E+11,Private Sector,,,http://www.faa.com.ar
AR-FAICA,,Buenos Aires,Argentina,C1070AAG,,"Sarmiento 1136, Primer Piso",0011I00000cikIyQAI,,Business,Federacion Argentina de Instituciones de Ciegos y Ambliopes,0,5.41144E+11,Private Sector,,,http://www.faica.org.ar/
AR-FAND,,Godoy Cruz,Argentina,5501,,RUTA PANAMERICANA 2650 PISO 1 DEPTO C-1,0011I00000cikjlQAA,,,Asociación Civil Film Andes,0,2.61155E+11,Private Sector,,,
AR-FANDARES,,Buenos Aires,Argentina,C1053ABN,,Viamonte 634 2º Piso,0011I00000cijo8QAA,,,Fundación Andares,0,5.41143E+11,Private Sector,,,http://www.fundacionandares.org
AR-FARTEVIVA,,Buenos Aires,Argentina,C1054AAH,,AV. CORDOBA 817 - 8O. DPTO. 15,0011I00000cijoJQAQ,,,Fundacion Arte Viva,0,5.41158E+11,Private Sector,,,http://www.arteviva.org/
AR-FAS,,Luis Guillón,Argentina,C1426DSJ,,República Argentina 1741  Luis Guillón - Partido de Esteban Echeverría,0011I00000cik5hQAA,,,Fundacion Argentina para la Salud,0,1147883397,Private Sector,,,http://www.fundacionsalud.org.ar/
AR-FBC,AR-FBC,Buenos Aires,Argentina,C1003ABJ,,Reconquista 468 - 7 Piso,0011I00000cikfrQAA,,Foundation,Fundacion Banco Credicoop,0,5.41143E+11,Private Sector,,,http://www.fundacioncredicoop.com.ar/
AR-FBMENDOZA,,Mendoza,Argentina,,,,0011I00000cikKUQAY,,Financial Institution,Fundación Banco Mendoza,0,,Private Sector,,,
AR-FBPBA,,Buenos Aires,Argentina,C1072AAH,,"Bernardo de Irigoyen 330, Piso 1Piso 1 (C1072AAH)",0011I00000cik5gQAA,,,Fundacion Banco de la Provincia de Buenos Aires,0,1143312070,Private Sector,,,http://www.fundacionbapro.org.ar/index.php
AR-FCANE,FCANE,Buenos Aires,Argentina,1602,,Av. Las Heras 1646,0011I00000cijnrQAA,,,"Fundacion Cane, Argentina",0,5.41148E+11,Private Sector,,,http://www.proargentina.gov.ar/documentos/act_capacitacion/DOC232.pdf
AR-FDCC,FUNDECCH,Presidencia Roque Sáenz Peña,Argentina,,,Mauricio Jaján 582,0011I00000cik6LQAQ,,,Fundacion para el Desarrollo Centro-Chaqueno,0,5.43644E+11,Private Sector,,,http://www.fundecch.org.ar/
AR-FDLC,,Sunchales,Argentina,S2322,,Santa Fé 33 Entrepiso,0011I00000cijnoQAA,,,Fundación de la Cuenca,0,3493422996,Private Sector,,,http://www.fundaciondelacuenca.org.ar/
AR-FEG,,Buenos Aires,Argentina,C1002,,"Av. Rivadavia 893, Piso 2º402, APTDO. POSTAL 2686",0011I00000cijnxQAA,,,Fundación Empresa Global,0,5.41143E+11,Private Sector,,,http://www.feg.org.ar/
AR-FEM,,Mendoza,Argentina,M5500,,Avenida Pedro Molina 471,0011I00000cikC2QAI,,Business,"Federacion Economica de Mendoza, Argentina",0,5.42614E+11,Private Sector,,,http://www.femza.org.ar/public/index.php/index/contacto; https://plus.google.com/103394199243140006748/about?gl=pt&hl=en
AR-FEPA,,Rawson,Argentina,U9103,,"Marcos A. Zar 413 - 2º Piso, Puerto Madryn",0011I00000cikQ5QAI,,,Fundacion Empresaria de la Patagonia,0,5.42804E+11,Private Sector,,,http://www.fepat.org.ar/
AR-FGARANTIZAR,,Buenos Aires,Argentina,C1041,,"SARMIENTO 663, PISO 2, 3 Y 6",0011I00000cijoBQAQ,,,Fundación Garantizar el Desarrollo,0,5.4114E+11,Private Sector,,,http://www.garantizar.com.ar
AR-FGP,,Tigre,Argentina,1617,,Av. Hipólito Yrigoyen 288 - General PachecoGeneral Pacheco,0011I00000cikD8QAI,,,Fundación General Pacheco,0,5.41E+17,Private Sector,,,http://www.fundaciongp.org.ar
AR-FIDFFPL,,,Argentina,,,,0011I00000cij6dQAA,,,Fundacion Interamericana Desarrollo y Formacion Fondos Pensiones Laborales,0,,Private Sector,,,
AR-FIE,FIE GP,Buenos Aires,Argentina,C1408FVF,,Ventura Bosch 7118LINIERS,0011I00000cikD9QAI,,Financial Institution,Fie Gran Poder,0,5.41153E+11,Private Sector,,,http://www.fiegranpoder.com.ar/
AR-FIEL,FIEL,Buenos Aires,Argentina,C1054,,Córdoba 6374,0011I00000cikBlQAI,,,"Fundacion de Investigaciones Economicas Latinoamericanas, Argentina",0,5.41143E+11,Private Sector,,,http://www.fiel.org/
AR-FIS,Emprenda,Buenos Aires,Argentina,C1408,,Av. Rivadavia 11.618 Piso 1,0011I00000cijoLQAQ,,Business,Fis Empresa Social s.a.,0,5446425802,Private Sector,,,http://www.emprenda.com.ar/
AR-FJ,,Buenos Aires,Argentina,,,"CALLAO 215SEPTIMO ""L"" 1022",0011I00000cik5fQAA,,,Fundacion Juntos,0,,Private Sector,,,
AR-FL,,Rosario,Argentina,S2000,,"Mitre 170, Rosario",0011I00000cijnsQAA,,,Fundacion Libertad,0,5.43414E+11,Private Sector,,,http://www.libertad.org.ar/
AR-FMAYO,,,Argentina,,,,0011I00000cij6cQAA,,,Fundacion Banco Mayo,0,,Private Sector,,,
AR-FNC,,Buenos Aires,Argentina,C1001AAB,,Leandro N. Alem 693 | 4° Piso,0011I00000cikBfQAI,,,Fundacion Premio Nacional a la Calidad,0,5.41143E+11,Private Sector,,,http://www.premiocalidad.org.ar/abre_contactenos.html
AR-FONCAP,FONCAP,Buenos Aires,Argentina,C1067AAC,,Perú 143 - Piso 11Ciudad Autónoma de Buenos Aires,0011I00000cijnqQAA,,Financial Institution,Fondo de Capital Social Foncap s.a.,0,5.41152E+11,Private Sector,,,http://www.impulsoargentino.com.ar/
AR-FORTALECER,Fortalecer,Buenos Aires,Argentina,C1070,,"Piedras 383, Piso 2ºCiudad Autónoma de Buenos Aires",0011I00000cikBwQAI,,,"Fundacion Fortalecer, Argentina",0,5.41143E+11,Private Sector,,,http://www.fortalecer.com.ar/
AR-FPSST,,Buenos Aires,Argentina,,,,0011I00000cikJzQAI,,,Fundacion para la Promocion de la Salud Seguridad en el Trabajo,0,,Private Sector,,,
AR-FPT,,Buenos Aires,Argentina,C1173AAB,,Sanchez de Bustamante 54 54,0011I00000cikPiQAI,,Business,Fundación Profesional para la Formación en el Transporte,0,5.41149E+11,Private Sector,,,http://fpt.fadeeac.org.ar/contacto.php
AR-FPVS,FPVS,Buenos Aires,Argentina,1114,,Pte. J. E. Uriburu 1175,0011I00000cijo5QAA,,,Fundacion Pro Vivienda Social,0,5.41148E+11,Private Sector,,,www.fpvs.org
AR-FS,,Buenos Aires,Argentina,C1003 ABB,,RECONQUISTA 46 2NDO PISO,0011I00000cijoAQAQ,,Financial Institution,Fuerza Solidaria,0,1143219919,Public Sector,,,www.fuerzasolidaria.gov.ar
AR-FSES,,,Argentina,,,,0011I00000cijLEQAY,,Foundation,Fundación Ses (Sustainability-Educationsolidarity),0,,,,,
AR-FUE,,Córdoba,Argentina,5000,,"Caseros 621, 1º y 2º piso",0011I00000cilw5QAA,,,Agencia para Desarrollo Economico de Cordoba y la Fundacion de Empresas,0,5.43514E+11,Private Sector,,,http://www.adec.org.ar/
AR-FUNBANMUNMUJ,,Córdoba,Argentina,,,HIPOLITO YRIGOYEN 622(5000) CORDOBA,0011I00000cikWcQAI,,,Fundacion Banco Mundial de la Mujer - Wwb Argentina,0,,Private Sector,,,
AR-FUNDA,FBC,Córdoba,Argentina,5000,,"Obispo Salguero 237, P.B., Local 1.BARRIO PARQUE VELEZ SARFIELD",0011I00000cikRVQAY,,,Fundacion Banco de la Provincia de Cordoba,0,5.40351E+12,Private Sector,,,http://www.fbco.com.ar
AR-FUNDACION CIDETER,,Las Parejas,Argentina,,,"Av 17 615, Las Parejas",0011I00000cikQ4QAI,,,Fundacion Cideter (Centro de Investigación y Desarrollo Tecnológico Regional),0,5.43471E+11,Private Sector,,,http://www.cecma.com.ar/centro-tecnologico/index.php
AR-FUNDACIONICEI,,Buenos Aires,Argentina,C1034,,"Av. Rivadavia 2431, entrada 3, piso 4 oficina 9",0011I00000cikYPQAY,,,Fundación Instituto Cooperación Económica Internacional,0,5.41152E+11,Private Sector,,,http://www.iceimercosur.org.ar
AR-FUNDACIONSES,,Buenos Aires,Argentina,C1004ABO,,San Martín 575 Piso 6,0011I00000cikX8QAI,,,Fundacion Ses,0,5.41154E+11,Private Sector,,,http://www.fundses.org.ar/contacto.html
AR-FUNDAPAZ,,Buenos Aires,Argentina,1031,,Castelli 12 2º AOFICINA 322 (1378),0011I00000cik4eQAA,,,Fundacion para el Desarrollo en Justiciay Paz,0,5.41149E+11,Private Sector,,,http://www.fundapaz.org.ar
AR-FUNDESACENTRCHAQ,,Presidencia Roque Sáenz Peña,Argentina,,,,0011I00000cilwUQAQ,,Foundation,Fundacion para el Desarrollo del Centro Chaqueno,0,5.43644E+11,Private Sector,,,
AR-FUSAT,FUSAT,Buenos Aires,Argentina,C1077AAL,,"Virrey Cevallos 520, 2do pisoCiudad Autónoma de Buenos Aires",0011I00000cijnwQAA,,,Fundación Social Aplicada al Trabajo,0,5.41144E+11,Private Sector,,,http://www.fusat.org/07.htm
AR-GABABAB,,Buenos Aires,Argentina,1038,,Tte. Gral. Juan Domingo Peron 4071038 BUENOS AIRES,0011I00000cikYlQAI,,Financial Institution,Banco de Galicia y Buenos Aires,0,5.41143E+11,Private Sector,,,http://www.bancogalicia.com/
AR-GADIS,,Buenos Aires,Argentina,1429BBU,,O'Higgins 3809,0011I00000cikJeQAI,,,Grupo Analisis y Desarrollo Institucional y Social,0,5.41147E+11,Private Sector,,,http://www.gadis.org.ar/
AR-GAFISUD,GAFISUD,Buenos Aires,Argentina,C1005AAS,,Florida 939 Piso 10,0011I00000cikCDQAY,,International Organization / Program,"Grupo de Accion Financiera para America del Sur, Argentina",0,5.41153E+11,Public Sector,,,http://www.gafisud.info/
AR-HOGRUR,,Mendoza,Argentina,M5500,,"Rioja N° 2772Cavagnaro, Coquimbito, Maipú",0011I00000cik6aQAA,Producer association,Business,"Cooperativa de Transformacion,provision,y Comercializacion Hogar Rural Ltda.",0,,Private Sector,,,
AR-IADBBAR,,,Argentina,,,,0011I00000cijHyQAI,,,Oficina del Banco en Argentina,0,,,,,
AR-IBATIN,IBATIN,Monteros,Argentina,4142,,Ruta Nacional 38 Km. 758MONTEROS,0011I00000cik6oQAA,,Business,"Coop.agropecuaria de Provision,transfor.comercializacion y Consumo Ibatin Ltda",0,5.40386E+12,Private Sector,,,
AR-ICEI,,Buenos Aires,Argentina,C1213ACA,,"VIAMONTE 2795 2º PISO,",0011I00000cikYaQAI,,,Instituto de Cooperacion Economica Internacional,0,54 11 4962 4229,Private Sector,,,
AR-IMOFCO,,Buenos Aires,Argentina,C1042AAB,,Avenida Corrientes 1563,0011I00000cikCPQAY,,Business,"Instituto Movilizador de Fondos Cooperativos, Argentina",0,5.41151E+11,Private Sector,,,http://www.imfc.coop/modules/contenido/index.php?numpag=16
AR-IMPULSAR,,Buenos Aires,Argentina,C1001,,AVENIDA LEANDRO N ALEM 661 PISO 1,0011I00000cijz2QAA,,,Fundación Impulsar,0,5.41143E+11,Private Sector,,,http://www.fundacionimpulsar.org.ar
AR-INCIDE,,Córdoba,Argentina,X5002IWE,,"Almirante Brown 245, Bº Alto AlbertiBARRIO ALTO ALBERDI",0011I00000cikP4QAI,,,"Instituto para la Cultura, la Innovaciony el Desarrollo",0,5.43515E+11,Private Sector,,,http://incide.org.ar/site/index.php/contacto/
AR-INTAL,,,Argentina,,,,0011I00000cijINQAY,,,Instituto para la Integracion de Americalatina y el Caribe,0,,,,,
AR-INTIHUACA,,San Salvador De Jujuy,Argentina,Y4609,,AV. 19 DE ABRIL 749 - LOCAL E Esquina Lavalle-Monoblock,0011I00000cijoDQAQ,,Business,Intihuaca s.a.,0,5.43884E+11,Private Sector,,,http://www.mixmarket.org/mfi/intihuaca-bmm-argentina
AR-INVAP,,San Carlos De Bariloche,Argentina,8400,,Av. Cmte. Luis Piedrabuena 4950San Carlos de Bariloche,0011I00000cikj8QAA,,Foundation,Fundacion Invap,0,5.42944E+11,Private Sector,,,www.fundacioninvap.org.ar
AR-IPNA,,Buenos Aires,Argentina,C1406,,J.F. ARANGUREN 1551,0011I00000cik6YQAQ,,,Fundacion Ipna,0,5.41144E+11,Private Sector,,,http://www.fundacionipna.org.ar
AR-JGM,,,Argentina,,,AV J.A. ROCA 762 PISO 5,0011I00000cijHzQAI,,Government,Jefatura de Gabinete de Ministros,0,43457384/5/6,,,,
AR-LEATID,,Buenos Aires,Argentina,,,,0011I00000cikBbQAI,,International Organization / Program,Centro Latinoamericano Capacitacion e Investigacion Conduccion Institucional,0,,Private Sector,,,
AR-MEOSP,,Buenos Aires,Argentina,,,Hipólito Yrigoyen 250,0011I00000cikDhQAI,,Government,Ministerio de Hacienda Oficina Nacional de Credito Publico,0,43495000,Public Sector,,,http://www.mecon.gov.ar/
AR-MEYOSP,,,Argentina,,,HIPOLITO YRIGOYEN #250,0011I00000cijI0QAI,,Government,Ministerio de Economia y Finanzas Publ,0,,,,,
AR-MJ,,,Argentina,,,AVENIDA GENERAL GELLY Y OBES 2289,0011I00000cijIWQAY,,Government,Ministerio de Justicia,0,,,,,
AR-MMAUV,,,Argentina,,,,0011I00000cij52QAA,,Government,"Ministerio de Medio Ambiente, Urbanismo y Vivienda",0,,Public Sector,,,
AR-MMORON,Morón,Munro,Argentina,B1708IHI,,San Martín 471Morón (Buenos Aires),0011I00000cijnvQAA,,Government,"Municipalidad de Morón, Argentina",0,1144897735,Public Sector,,,http://www.moron.gov.ar/
AR-MTSS,MTSS,Buenos Aires,Argentina,C1001AAO,,Av Leandro N. Alem 650,0011I00000cijnpQAA,,Government,"Ministerio de Trabajo, Empleo y Seguri Dad Social",0,43105948,Public Sector,,,http://www.trabajo.gov.ar/
AR-MVF,,Buenos Aires,Argentina,1425,,Demaria 4474 piso 4,0011I00000cijoCQAQ,,Business,Mark Ventures Fund,0,5.41148E+11,Private Sector,,,http://markvc.com/our-fund.php
