ACRNM__C,ABBREVIATION__C,BILLINGCITY,BILLINGCOUNTRY,BILLINGPOSTALCODE,BILLINGSTATE,BILLINGSTREET,,CREATEDBYID,CREATEDDATE,DESCRIPTION,INSTITUTION_SUB_TYPE__C,INSTITUTION_TYPE__C,LASTMODIFIEDBYID,LASTMODIFIEDDATE,NAME,OPPORTUNITIES__C,PHONE,PUBLIC_PRIVATE_SECTOR__C,RELATIONSHIP_WITH_THE_BANK__C,TYPE,WEBSITE
AR-ADELCO,ADELCO,Buenos Aires,Argentina,1050,,"Tucumán 1673 5º Piso, Oficina 10",,0051I000000Pt9NQAS,2018-10-04T15:01:06.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:29.000Z,Accion del Consumidor,0,5.41E+11,Private Sector,,,http://www.adelco.org/
AR-ADIMRA,ADIMRA,Buenos Aires,Argentina,C1088AAO,,"Adolfo Alsina 1609, 2º Piso, Ciudad Autónoma de Buenos Aires",,0051I000000Pt9NQAS,2018-10-04T15:00:19.000Z,,,Business,0051I000004QJ2KQAW,2019-06-14T19:47:16.000Z,Asociación de Industriales Metalúrgicos de la República Argentina,0,5.41E+11,Private Sector,,,http://www.adimra.org.ar/
AR-AFLUEN,,Buenos Aires,Argentina,,,AVENIDA DORREGO 1789 PISO 5 OFICINA 503,,0051I000000Pt9NQAS,2018-10-04T15:01:38.000Z,Financial servicesOnline lending,,Business,0051I000004QJ2KQAW,2019-06-14T19:47:23.000Z,Afluenta,0,54115219665,Private Sector,,,www.afluenta.com
AR-AGDEC,,,Argentina,,,,,0051I000000Pt9NQAS,2018-10-04T14:51:03.000Z,,,Business,0051I000004QJ2KQAW,2019-06-14T19:47:10.000Z,Agencia de Desarrollo Economico de Cordoba,0,,,,,
AR-AMIA,AMIA,Buenos Aires,Argentina,C1028AAM,,Pasteur 633,,0051I000000Pt9NQAS,2018-10-04T15:00:19.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:16.000Z,Asociacion Mutual Israelita Argentina Laboral,0,5.41E+11,Private Sector,,,http://www.amia.org.ar/
AR-AMPF,AMPF,Buenos Aires,Argentina,1038,,TTE GRAL PERON 1383,,0051I000000Pt9NQAS,2018-10-04T15:01:33.000Z,".The AMPF is a mutual association created in 1994 to help meet the basic needs and enhance the quality of life of low-income people in Argentina.   The AMPF has several strengths to implement the project, such as an important technical and personnel structure, territorial presence in all the provinces, many partners and various mechanisms of fluid communications and contact with affiliates, among others. The main weakness of AMPF for project implementation is a lack of knowledge on microinsurance, which is the reason for including institutional strengthening in the project.   As of December 2013 AMPF had assets for AR$ 59,530,194 and liabilities for AR$ 22,322,115, resulting in a net equity of AR$ 37,208,079. It is worth noting that the mutual association has a healthy debt level, with a debt to asset ratio of 0.37. In 2013 AMPF received fees from its members for AR$ 77,899,138; interests, commissions, subsidies and cost recovery for AR$ 27,835,537; and service fees for 9,380,060, with a total income of AR$ 115,114,735. Being a mutual association, there is no distribution of income among its members. This means that the total income generated in the 2013 fiscal period was spent in the provision of the services mentioned above as well as in ordinary operating costs.   In May 2002 the AMPF created the Mutual Training Institute Carlos Castillo in order to implement the principle of mutual education, training and social mutuality. Since 2009, the Institute is the international training body for ODEMA, under the cooperation agreement signed by both entities. The Institute will be responsible for training the branch employees of AMPF, for the development and/or adaptation of training materials on risk management, and for making the materials available to the wider community through its educational platform. The Institute features human, technological, and institutional resources for the development and adaptation of training materials and training, but does not have specific knowledge about risk and insurance (which will be hired by the project).As of today, the mutual association has grown significantly and offers a wide range of services such as complementary health care, library, scholarships and grants, financial aid, savings, and legal services, among others. Recently AMPF introduced a microinsurance service, understanding that proper risk management can help reduce the volatility of income of their members and this, improve their quality of life.",,,0051I000004QJ2KQAW,2019-06-14T19:47:23.000Z,Asociación Mutual de Protección Familiar,0,5.40E+12,Private Sector,,,
AR-AMSA,,Mendoza,Argentina,5500,,Av Colón 163,,0051I000000Pt9NQAS,2018-10-04T15:00:19.000Z,,,Financial Institution,0051I000004QJ2KQAW,2019-06-14T19:47:16.000Z,"Argentina Microfinanzas, s.a.",0,5.43E+11,Private Sector,,,http://www.argentinamicrofinanzas.com
AR-AMWASA,Warmi Sayajsunqo,San Salvador De Jujuy,Argentina,4600,,"5545 TegucigalpaAbra Pampa, Jujuy",,0051I000000Pt9NQAS,2018-10-04T15:00:19.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:16.000Z,Asociacion Mujeres Warmi Sayajsunqo,0,54388422530,Private Sector,,,http://ibitineris.blogspot.com/2010/08/asociacion-warmi-sayajsunqo-mujeres.html
AR-APYME,,,Argentina,,,,,0051I000000Pt9NQAS,2018-10-04T14:51:57.000Z,,,Business,0051I000004QJ2KQAW,2019-06-14T19:47:16.000Z,Asamblea de Pequeñas y Medianas Empresas,0,,,,,
AR-AQUA CAPITAL,AQUA,Buenos Aires,Argentina,,,Arenales 1834  1O C  (1124),,0051I000000Pt9NQAS,2018-10-04T15:01:24.000Z,"At Aqua Capital Partners, we specialize in identifying, structuring and managing equity investments.We work with individual, family and financial investors who seek high mid-term returns on capital through equity investments in solid companies with growth potential. Our focus is on mid and late-stage companies in agribusiness, food and services based in the Southern Cone – Argentina, Brazil, Chile and Uruguay.  Aqua Capital's Principals have strong operational backgrounds and invest significant time working with portfolio companies.",,Business,0051I000004QJ2KQAW,2019-06-14T19:47:39.000Z,Aqua Capital Partners s.a.,0,5.41E+11,Private Sector,,,www.aquacapitalpartners.com
AR-AR,,,Argentina,,,NACION ARGENTINA,,0051I000000Pt9NQAS,2018-10-04T14:51:57.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:16.000Z,Nacion Argentina,0,,,,,
AR-ARGENCON,,Buenos Aires,Argentina,1107,,OLGA COSSETTINI 731  3er piso,,0051I000000Pt9NQAS,2018-10-04T15:01:38.000Z,,Business Association/Chamber,Business,0051I000004QJ2KQAW,2019-06-14T19:47:23.000Z,Asociación de Empresas Promotoras de la Exportación de Servicios de Conocimiento,0,5.41E+11,Private Sector,,,www.argencon.org
AR-ARGENINTA,,,Argentina,,,,,0051I000000Pt9NQAS,2018-10-04T14:51:57.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:16.000Z,Fundación Argeninta,0,,,,,
AR-AUDGEN,,,Argentina,,,HIPOLITO YRIGOYEN 1236 4,,0051I000000Pt9NQAS,2018-10-04T14:51:50.000Z,,,Government,0051I000004QJ2KQAW,2019-06-14T19:47:16.000Z,Auditoria General de la Nacion,0,,,,,
AR-AVINA,AVINA,Buenos Aires,Argentina,1006,,Maipú 879 – Piso 3 – DTO B – CABA,,0051I000000Pt9NQAS,2018-10-04T15:01:15.000Z,"Somos una fundación latinoamericana enfocada en producir cambios a gran escala para el desarrollo sostenible mediante la construcción de procesos de colaboración entre actores de distintos sectores. Aspiramos a una América Latina próspera, integrada, solidaria y democrática, inspirada en su diversidad y constituida por una ciudadanía que la posiciona globalmente a partir de su propio modelo de desarrollo inclusivo y sostenible",,Foundation,0051I000004QJ2KQAW,2019-06-14T19:47:36.000Z,Fundación Avina Argentina,0,5.41E+11,Private Sector,,,http://www.avina.net/
AR-BA,,Mendoza,Argentina,M5500GHL,,Rivadavia 592,,0051I000000Pt9NQAS,2018-10-04T15:00:19.000Z,,Business Association/Chamber,Business,0051I000004QJ2KQAW,2019-06-14T19:47:16.000Z,Bodegas de Argentina,0,5.43E+11,Private Sector,,,http://www.bodegasdeargentina.org/
AR-BACIBAB,BCBA,Buenos Aires,Argentina,C1041AAM,,"Sarmiento 611, Ciudad Autónoma de Buenos Aires",,0051I000000Pt9NQAS,2018-10-04T15:12:36.000Z,"Promover la igualdad de oportunidades, el desarrollo económico, el empleo y la calidad de vida de los habitantes de las zonas donde opera el Banco, privilegiando el crédito social y la asistencia a la pequeña y mediana empresa.Capacitación y desarrollo empresario. Asistencia al emprendedor y a la creación de empresas. Asistencia en comercio exterior. Financiamiento bancario y no bancario. Capacitación y asistencia en RSE.  Difusión de información para el segmento ""PyME"" y ""Emprendedor"". Dictado de Programas Ejecutivos.",,Financial Institution,0051I000004QJ2KQAW,2019-06-14T19:47:23.000Z,Banco de la Ciudad de Buenos Aires,0,5.41E+11,Mixed,,,http://www.bancociudad.com.ar/
AR-BCOOBAB,,Buenos Aires,Argentina,1003,,RECONQUISTA 484 FLOOR 31003 BUENOS AIRES,,0051I000000Pt9NQAS,2018-10-04T15:01:06.000Z,,,Financial Institution,0051I000004QJ2KQAW,2019-06-14T19:47:29.000Z,Banco Credicoop Cooperativo Ltd,0,5.41E+11,Private Sector,,,http://www.bancocredicoop.coop/
AR-C.J. SANCOR,,Córdoba,Argentina,X2424,,"Frente.Ruta Nac.19 Km. 151, Devoto",,0051I000000Pt9NQAS,2018-10-04T15:01:15.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:39.000Z,Federacion de Centros Juveniles Agrarioscooperativistas de la Zona Zancor,0,5.44E+17,Private Sector,,,http://www.centrosjuveniles.com.ar/opciones/index.asp
AR-CAME,,Buenos Aires,Argentina,,,,,0051I000000Pt9NQAS,2018-10-04T15:00:19.000Z,,,Business,0051I000004QJ2KQAW,2019-06-14T19:47:16.000Z,Coordinadora de Actividades Mercantiles Empresarias,0,,Private Sector,,,
AR-CARCO,,Buenos Aires,Argentina,C1003AAN,,"Av. Leandro, N. Alem 36",,0051I000000Pt9NQAS,2018-10-04T15:01:06.000Z,,Business Association/Chamber,Business,0051I000004QJ2KQAW,2019-06-14T19:47:29.000Z,Camara Argentina de Comercio,0,5.41E+11,Mixed,,,http://www.cac.com.ar/
AR-CARITAS,,Buenos Aires,Argentina,,,,,0051I000000Pt9NQAS,2018-10-04T15:00:55.000Z,,,International Organization / Program,0051I000004QJ2KQAW,2019-06-14T19:47:26.000Z,"Caritas, Argentina",0,,Private Sector,,,
AR-CAUQUEVA,CAUQUEVA,Maimará,Argentina,4622,,Belgrano S/NMaimará,,0051I000000Pt9NQAS,2018-10-04T15:00:44.000Z,,Producer association,Business,0051I000004QJ2KQAW,2019-06-14T19:47:26.000Z,Cooperativa Agropecuaria y Artesanal Union Quebrada y Valles,0,3.88E+11,Private Sector,,,http://www.cauqueva.com.ar/
AR-CEARE,,Buenos Aires,Argentina,C1425CKB,,"Facultad de Derecho de la Universidad de Buenos Aires, Avda. Figueroa Alcorta 2263 2º Piso.",,0051I000000Pt9NQAS,2018-10-04T15:01:06.000Z,,,Academic Institution,0051I000004QJ2KQAW,2019-06-14T19:47:29.000Z,"Centro de Estudios Actividad Regulatoriaenergetica, Argentina",0,5.41E+11,Private Sector,,,http://www.ceare.org/
AR-CEAS,,Mar Del Plata,Argentina,7600,,AV. FÉLIX U. CAMET 2497,,0051I000000Pt9NQAS,2018-10-04T15:01:24.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:18.000Z,Centro de Estudios y Acción Social,0,0223-4712525,Private Sector,,,http://www.ceaspa.org.pa/
AR-CFRN,,Corrientes,Argentina,3400,,SAN LORENZO 778,,0051I000000Pt9NQAS,2018-10-04T15:00:44.000Z,,,Financial Institution,0051I000004QJ2KQAW,2019-06-14T19:47:26.000Z,Cofirene Banco de Inversiones s.a.,0,34917454480,Private Sector,,,http://corrientes.opendi.com.ar/4841.html
AR-CGEE,,Buenos Aires,Argentina,C1033AAB,,Av. Rivadavia 1115,,0051I000000Pt9NQAS,2018-10-04T15:00:55.000Z,,Business Association/Chamber,Business,0051I000004QJ2KQAW,2019-06-14T19:47:29.000Z,Confederacion General Economica,0,5.41E+11,Private Sector,,,http://www.cgera.org.ar/index.php/es/
AR-CIAI,,Buenos Aires,Argentina,C1033AAF,,St. Michael,,0051I000000Pt9NQAS,2018-10-04T15:01:15.000Z,,Business Association/Chamber,Business,0051I000004QJ2KQAW,2019-06-14T19:47:36.000Z,Cámara Industrial Argentina de la Indumentaria,0,5.41E+11,Mixed,,,http://www.ciaindumentaria.com.ar
AR-CIMIENTOS,,Buenos Aires,Argentina,C1114,,PTE. J.E. URIBURU 1175,,0051I000000Pt9NQAS,2018-10-04T15:01:33.000Z,"Promover la igualdad de oportunidades educativas mediante programas que favorezcan la inclusión escolar y mejoren la calidad de la educación de los niños y jóvenes provenientes de familias de bajos recursos socioeconómicos.Desde 1997 trabajamos para que más chicos puedan terminar la escuela secundaria. Donde haya un chico en riesgo de no continuar estudiando, allí quiere estar Cimientos para contribuir a mejorar su trayectoria educativa, aumentar sus posibilidades de terminar la escuela y lograr proyectarse en el futuro que sueñan alcanzar. Construimos desde la educación un mejor futuro para nuestros chicos y por lo tanto para el desarrollo de una sociedad argentina más justa y equitativa.",,,0051I000004QJ2KQAW,2019-06-14T19:47:18.000Z,Fundacion Cimientos,0,5.41E+11,Private Sector,,,http://cimientos.org/acercadecimientos.php
AR-CINS,,Formosa,Argentina,,,Calle Padre Patino 824,,0051I000000Pt9NQAS,2018-10-04T15:00:19.000Z,,,Business,0051I000004QJ2KQAW,2019-06-14T19:47:16.000Z,Cooperazione Italiana Nord Sud,0,5.44E+11,Private Sector,,,http://www.cins.it/
AR-CIPPEC,,Buenos Aires,Argentina,C1022AA,,"Av. Callao 25, Piso 1º ACiudad Autónoma de Buenos Aires",,0051I000000Pt9NQAS,2018-10-04T15:01:33.000Z,"Trabajar por un Estado justo, democrático y eficiente que mejore la vida de las personas.Fundada en el año 2000, CIPPEC es una organización independiente, apartidaría y sin fines de lucro que trabaja por un Estado justo, democrático y eficiente que mejore la vida de las personas. Para ello se dedica a analizar, monitorear, recomendar e implementar políticas públicas que ayuden al desarrollo, generen igualdad de oportunidades y contribuyan a la creación de instituciones sólidas, transparentes y eficaces. El desafío de CIPPEC es traducir en acciones concretas las mejores ideas que surjan en las áreas de Desarrollo Social, Desarrollo Económico e Instituciones y Gestión Pública, a través de los programas de Educación, Salud, Protección Social, Política Fiscal, Integración Global y Desarrollo Productivo, Justicia, Transparencia, Política y Gestión de Gobierno, Incidencia, Monitoreo y Evaluación, y Desarrollo Local. De acuerdo al índice global que elabora la Universidad de Pennsylvania, CIPPEC es el principal Think Tank de Argentina y el 5° de América Latina. Realiza anualmente 100 proyectos, contando con reconocida solidez técnica y capacidad de implementación.",,,0051I000004QJ2KQAW,2019-06-14T19:47:18.000Z,Centro de Implementación de Políticas Públicas para la Equidad y Crecimiento,0,5.41E+11,Private Sector,,,http://www.cippec.org/
AR-CNDC,,Buenos Aires,Argentina,1322,,Julio A. Roca 651 4to Piso,,0051I000000Pt9NQAS,2018-10-04T15:01:06.000Z,,,Government,0051I000004QJ2KQAW,2019-06-14T19:47:29.000Z,Comision Nacional de Defensa a la Competencia,0,5.41E+11,Public Sector,,,http://www.cndc.gov.ar/
AR-COL,,Los Antiguos,Argentina,,,"Alameda Oeste 473 , Los AntiguosLos Antiguos",,0051I000000Pt9NQAS,2018-10-04T15:00:44.000Z,,Producer association,Business,0051I000004QJ2KQAW,2019-06-14T19:47:26.000Z,Cooperativa Agro-Fruticola el Oasis,0,2963491294,Private Sector,,,
AR-COPLAR,LA RIOJANA,Chilecito,Argentina,5360,,LA PLANTA 646Chilecito,,0051I000000Pt9NQAS,2018-10-04T15:00:44.000Z,"La Riojana Coop. es una cooperativa en la que prima el espíritu de crecimiento a partir del desarrollo sustentable, sobre sólidos cimientos solidarios y de distribución equitativa de los beneficios",Producer association,Business,0051I000004QJ2KQAW,2019-06-14T19:47:26.000Z,Cooperativa Vitivinifruticola de la Rioja Limitada,0,5.40E+12,Private Sector,,,http://www.lariojana.com.ar/site/
AR-CORDECC,,Chos Malal,Argentina,Q8353BFB,,GENERAL JUSTO 45 Y SAN MARTINChos Malal,,0051I000000Pt9NQAS,2018-10-04T15:00:44.000Z,,,Business,0051I000004QJ2KQAW,2019-06-14T19:47:24.000Z,"Corporacion de Desarrollo de la Cuenca del Curi Leuvu, s.a.",0,5.40E+12,Private Sector,,,http://www.tantogusto.net/vinculos/cordecc-sapem/
AR-CORDIAL,,La Plata,Argentina,1406,,Calle 47 nº 636,,0051I000000Pt9NQAS,2018-10-04T15:00:19.000Z,,,Financial Institution,0051I000004QJ2KQAW,2019-06-14T19:47:16.000Z,Cordial Microfinanzas s.a.,0,2214222670,Private Sector,,,http://www.cordialnegocios.com.ar/menu.html
AR-COS,,Buenos Aires,Argentina,,,"ESMERALDA 1271 PISO 3 DEPARTAMENTO 35, 1007 CABA",,0051I000000Pt9NQAS,2018-10-04T15:01:38.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:23.000Z,Co Sistema s.a.,0,5.49E+12,Private Sector,,,http://www.njambre.org/
AR-CPCE,,Buenos Aires,Argentina,C1055ABC,,Viamonte 1549,,0051I000000Pt9NQAS,2018-10-04T15:00:55.000Z,,,Government,0051I000004QJ2KQAW,2019-06-14T19:47:26.000Z,"Consejo Profesional de Ciencias Economicas, Argentina",0,5.41E+11,Public Sector,,,http://www.consejo.org.ar/ https://www.facebook.com/ConsejoCABA/info?ref=page_internal
AR-CSI,,,Argentina,,,ITUZAINGO 90 (1642) SAN ISIDRO,,0051I000000Pt9NQAS,2018-10-04T14:51:38.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:14.000Z,Cáritas San Isidro,0,(5411) 4575 422,,,,
AR-CTC,,Córdoba,Argentina,5000,,Paso de Uspallata 1445 Barrio San Martín 5008MENTO D,,0051I000000Pt9NQAS,2018-10-04T15:01:24.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:39.000Z,Cluster Tecnológico Córdoba,0,5.44E+11,Private Sector,,,http://www.cordobatechnology.com/joomla/
AR-DAT,,Rosario,Argentina,2000,,Agencia DAT- Ocampo y Esmeralda Rosario,,0051I000000Pt9NQAS,2018-10-04T15:01:06.000Z,,,Business,0051I000004QJ2KQAW,2019-06-14T19:47:36.000Z,Asociación Cooperadora de la Dirección de Asesoramiento y Servicios Tecnológicos,0,5.43E+11,Private Sector,,,http://www.agenciadat.org.ar/
AR-DECOD,,Buenos Aires,Argentina,C1058AAC,,MARCELO T. DE ALVEAR 405,,0051I000000Pt9NQAS,2018-10-04T15:01:38.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:23.000Z,Asociacion Civil para el Desarrollo de Ecosistemas Descentralizados,0,5.41E+11,Private Sector,,,www.bitcoinargentina.org
AR-ENDEAVOR,,Buenos Aires,Argentina,1124,,Montañeses 2180,,0051I000000Pt9NQAS,2018-10-04T15:00:35.000Z,"Endeavor contribuye al desarrollo del país a través de la promoción de la cultura emprendedora; identifica emprendedores de alto impacto y les provee apoyo estratégico para ayudarlos a llevar sus compañías al próximo nivel. Además, articula y promueve el desarrollo de ecosistemas de apoyo masivo a emprendedores de todo el país.",,,0051I000004QJ2KQAW,2019-06-14T19:47:24.000Z,Endeavor Argentina,0,5.41E+11,Private Sector,,,http://www.endeavor.org.ar/
AR-ENOHSA,,Buenos Aires,Argentina,C1042AAQ,,Av. Corrientes 1750 - Pisos 3 al 8,,0051I000000Pt9NQAS,2018-10-04T15:01:06.000Z,,,Government,0051I000004QJ2KQAW,2019-06-14T19:47:29.000Z,Ente Nacional de Obras Hidricas de Saneamiento,0,41176500,Public Sector,,,http://www.enohsa.gob.ar/index.php
AR-ENRESS,ENRESS,Santa Fe,Argentina,3000,,25 de Mayo 1951,,0051I000000Pt9NQAS,2018-10-04T15:01:06.000Z,,,Government,0051I000004QJ2KQAW,2019-06-14T19:47:29.000Z,Ente Regulador de Servicios Sanitarios de la Provincia de Santa Fe,0,5.43E+11,Public Sector,,,https://plus.google.com/116890217366157129859/about?gl=pt&hl=en
AR-ETIMOS,,Buenos Aires,Argentina,1405,,"DR. G. ARÁOZ ALFARO 432, 1º E",,0051I000000Pt9NQAS,2018-10-04T15:01:15.000Z,,,Business,0051I000004QJ2KQAW,2019-06-14T19:47:36.000Z,Etimos Argentina,0,5.41E+11,Private Sector,,,http://www.nuestrashuellas.org.ar/index2/dona.html
AR-FAA,FAA,Rosario,Argentina,S2000,,PJE. ALFONSINA STORNI 7452000 Rosario,,0051I000000Pt9NQAS,2018-10-04T15:00:19.000Z,,,Business,0051I000004QJ2KQAW,2019-06-14T19:47:16.000Z,Federacion Agraria Argentina,0,5.43E+11,Private Sector,,,http://www.faa.com.ar
AR-FAICA,,Buenos Aires,Argentina,C1070AAG,,"Sarmiento 1136, Primer Piso",,0051I000000Pt9NQAS,2018-10-04T15:01:06.000Z,,,Business,0051I000004QJ2KQAW,2019-06-14T19:47:29.000Z,Federacion Argentina de Instituciones de Ciegos y Ambliopes,0,5.41E+11,Private Sector,,,http://www.faica.org.ar/
AR-FAND,,Godoy Cruz,Argentina,5501,,RUTA PANAMERICANA 2650 PISO 1 DEPTO C-1,,0051I000000Pt9NQAS,2018-10-04T15:01:38.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:23.000Z,Asociación Civil Film Andes,0,2.61E+11,Private Sector,,,
AR-FANDARES,,Buenos Aires,Argentina,C1053ABN,,Viamonte 634 2º Piso,,0051I000000Pt9NQAS,2018-10-04T15:00:19.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:16.000Z,Fundación Andares,0,5.41E+11,Private Sector,,,http://www.fundacionandares.org
AR-FARTEVIVA,,Buenos Aires,Argentina,C1054AAH,,AV. CORDOBA 817 - 8O. DPTO. 15,,0051I000000Pt9NQAS,2018-10-04T15:00:19.000Z,.,,,0051I0000044ZlgQAE,2019-07-09T22:29:26.000Z,Fundacion Arte Viva,0,5.41E+11,Private Sector,,,http://www.arteviva.org/
AR-FAS,,Luis Guillón,Argentina,C1426DSJ,,República Argentina 1741  Luis Guillón - Partido de Esteban Echeverría,,0051I000000Pt9NQAS,2018-10-04T15:00:44.000Z,,,,0051I000004QJ2KQAW,2019-06-14T19:47:24.000Z,Fundacion Argentina para la Salud,0,1147883397,Private Sector,,,http://www.fundacionsalud.org.ar/
AR-FBC,AR-FBC,Buenos Aires,Argentina,C1003ABJ,,Reconquista 468 - 7 Piso,,0051I000000Pt9NQAS,2018-10-04T15:01:33.000Z,"Promover el desarrollo de las Pequeñas y Medianas Empresas (PyMEs) y el incremento de su competitividad.Contamos con una experiencia de más de 16 años de trabajo brindando servicios orientados a lograr una mayor inserción de las empresas en el mercado, a través de las siguientes áreas: Capacitación, Comercio Exterior, Proyectos y Asistencia Técnica, DIVERPYMEX.",,Foundation,0051I000004QJ2KQAW,2019-06-14T19:47:23.000Z,Fundacion Banco Credicoop,0,5.41E+11,Private Sector,,,http://www.fundacioncredicoop.com.ar/
AR-FBMENDOZA,,Mendoza,Argentina,,,,,0051I000000Pt9NQAS,2018-10-04T15:01:06.000Z,,,Financial Institution,0051I000004QJ2KQAW,2019-06-14T19:47:36.000Z,Fundación Banco Mendoza,0,,Private Sector,,,
